    date      time,temp,humidity,pressure

 2020/04/20 - 21:33:57 ,30.36°C,27rh,1029hPa
 2020/04/20 - 21:33:59 ,30.34°C,28rh,1029hPa
 2020/04/20 - 21:34:01 ,30.15°C,28rh,1029hPa
 2020/04/20 - 21:34:03 ,30.26°C,28rh,1029hPa
 2020/04/20 - 21:34:06 ,30.26°C,28rh,1029hPa
 2020/04/20 - 21:34:08 ,30.24°C,28rh,1029hPa
 2020/04/20 - 21:34:10 ,30.26°C,28rh,1029hPa
 2020/04/20 - 21:34:12 ,30.28°C,28rh,1029hPa
 2020/04/20 - 21:34:14 ,30.32°C,28rh,1029hPa
 2020/04/20 - 21:34:16 ,30.28°C,27rh,1029hPa
 2020/04/20 - 21:34:18 ,30.26°C,27rh,1029hPa
 2020/04/20 - 21:34:20 ,30.28°C,28rh,1029hPa
 2020/04/20 - 21:34:22 ,30.21°C,27rh,1029hPa
 2020/04/20 - 21:34:24 ,30.38°C,28rh,1029hPa